ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B01IAI2ST4","Airborne Very Berry Effervescent Tablets  10 count - 1000mg of Vitamin C - Immune Support Supplement (Pack of 4)","Airborne","Health & Household","$517,107.00","17,770","$29.10","$8.14","$20.97","174,742","31","6","14","07/10/2016","Pharmapacks_","4.6","6.00"" x 6.00"" x 8.00""","Large standard-size","9.39 lbs"
"B0C6PPQXLC","Airmee Solar Outdoor Lights for Outside  ‎700 Lumen Bright Spot Lights IP68 Waterproof  3 Modes Solar Landscape Lights 40000H Lifespan  Auto On/Off Garden Lights for Yard/Pathway  Warm White 6 Pack","Airmee","Tools & Home Improvement","$43,654.34","766","$56.99","$12.09","$44.90","226,757","4","7","2","05/30/2023","airmee","2.2","4.40"" x 3.50"" x 11.40""","Large standard-size","5.28 lbs"
"B09LNNNFXV","AISENO Artificial Christmas Garland 6FT PreLit Holiday Decoration Garland with 50 Lights Partially Flocked  Pine Cones Xmas Holiday Home Decorations","AISENO","Home & Kitchen","$32,225.76","1,112","$28.98","$12.88","$16.10","56,034","34","7","1","06/02/2021","AISENO","4.4","6.81"" x 12.13"" x 17.87""","Large standard-size","3.6332 lbs"
"B08T9JLRBQ","Aixy Two Piece Swimsuits for Women Tankini Set High Waist Bathing Suit","Aixy","Clothing, Shoes & Jewelry","$39,590.10","990","$39.99","$11.20","$28.79","32,160","9","5","1","01/17/2021","Chunhuirunze","5","1.30"" x 11.18"" x 15.71""","Large standard-size","0.5004 lbs"
"B08D6NXKR1","AjezMax Women's Golf Sleeveless Polo Quick-Drying Sports Shirts","AjezMax","Sports & Outdoors","$46,838.70","2,130","$21.99","$3.30","$18.69","100,167","3","5","1","06/08/2020","AjezMax","5","1.00"" x 9.85"" x 12.80""","Standard (Large)","0.3307 lbs"
"B08RS1WX6C","AJISAI Biker Shorts for Women High Waisted Print Yoga Workout Compression Shorts","AJISAI","Sports & Outdoors","$17,211.80","820","$20.99","$3.57","$17.42","213,475","9","6","1","12/30/2020","Ajisai","4.8","10.00"" x 10.00"" x 0.75""","Standard (Small)","0.399 lbs"
"B08KZW19QH","Akalnny Christmas Pajamas for Family Stes Plaid Striped Matching Holiday Pajamas Elk for Kids and Adults","Akalnny","Clothing, Shoes & Jewelry","$46,334.55","1,545","$29.99","$5.10","$24.89","687,230","29","6","1","10/09/2020","ylrus","3.8","2.10"" x 9.20"" x 12.30""","Standard (Large)","1.6006 lbs"
"B07VKS2FB6","AKEWEI Women's Short/Long Sleeve Maxi Dress Loose Casual Long Dresses Pockets","AKEWEI","Clothing, Shoes & Jewelry","$65,079.00","2,100","$30.99","$5.27","$25.72","6,612","10","6","1","07/22/2019","Evensleaves","4","1.85"" x 12.40"" x 13.90""","Standard (Large)","0.84 lbs"
"B08LL5F18Y","Akk Mens Walking Tennis Shoes - Comfortbale Walking Shoes Casual Fashion Sneakers for Jogging Indoor Outdoor Gym Travel","Akk","Clothing, Shoes & Jewelry","$22,492.50","750","$29.99","$4.50","$25.49","66,144","18","6","1","11/26/2020","Akk Shoes Store","4.6","9.84"" x 3.94"" x 3.94""","Standard (Large)","0.9899 lbs"
"B0CB672RD2","AKONSOUL 613 Blonde Lace Front Wigs Human Hair Body Wave 13x4 180% Density HD Transparent Lace Frontal Wigs Human Hair Pre Plucked With Baby Hair Guleless Wig Human Hair for Black Women (20 Inch)","AKONSOUL","Beauty & Personal Care","$75,411.62","838","$89.99","$17.27","$72.72","1,288,507","1","6","1","09/27/2023","AKONSOUL","5","13.50"" x 9.61"" x 1.69""","Large standard-size","8.47 lbs"
